Instance Type,Spot Price,Availability Zone,OS,Last Week Bid Prices
c4.large,0.031700,us-east-1c,Linux/UNIX,N/A
m4.large,0.054300,us-east-1f,Linux/UNIX,N/A
c5d.xlarge,0.074200,us-east-1d,Linux/UNIX,N/A
m5.xlarge,0.078400,us-east-1c,Linux/UNIX,N/A
c5n.xlarge,0.081000,us-east-1f,Linux/UNIX,N/A
m5d.xlarge,0.088400,us-east-1c,Linux/UNIX,N/A
c4.xlarge,0.091100,us-east-1d,Linux/UNIX,N/A
r4.xlarge,0.091200,us-east-1f,Linux/UNIX,N/A
m4.xlarge,0.091700,us-east-1f,Linux/UNIX,N/A
r5.xlarge,0.093900,us-east-1c,Linux/UNIX,N/A
r5a.xlarge,0.099500,us-east-1c,Linux/UNIX,N/A
m5a.xlarge,0.111600,us-east-1d,Linux/UNIX,N/A
r5d.xlarge,0.119800,us-east-1c,Linux/UNIX,N/A
c5.2xlarge,0.137200,us-east-1c,Linux/UNIX,N/A
h1.2xlarge,0.140400,us-east-1c,Linux/UNIX,N/A
z1d.xlarge,0.145100,us-east-1d,Linux/UNIX,N/A
c5d.2xlarge,0.150900,us-east-1d,Linux/UNIX,N/A
c5n.2xlarge,0.151900,us-east-1d,Linux/UNIX,N/A
r4.2xlarge,0.153200,us-east-1d,Linux/UNIX,N/A
r5.2xlarge,0.161900,us-east-1f,Linux/UNIX,N/A
r5a.2xlarge,0.171300,us-east-1c,Linux/UNIX,N/A
m5.2xlarge,0.174000,us-east-1d,Linux/UNIX,N/A
r5d.2xlarge,0.175800,us-east-1d,Linux/UNIX,N/A
m5a.2xlarge,0.179000,us-east-1d,Linux/UNIX,N/A
m4.2xlarge,0.181500,us-east-1f,Linux/UNIX,N/A
c4.2xlarge,0.223700,us-east-1f,Linux/UNIX,N/A
z1d.2xlarge,0.271900,us-east-1c,Linux/UNIX,N/A
c5.4xlarge,0.276400,us-east-1d,Linux/UNIX,N/A
h1.4xlarge,0.280800,us-east-1f,Linux/UNIX,N/A
m5d.4xlarge,0.291300,us-east-1f,Linux/UNIX,N/A
c5d.4xlarge,0.302800,us-east-1d,Linux/UNIX,N/A
c5n.4xlarge,0.305000,us-east-1d,Linux/UNIX,N/A
c4.4xlarge,0.314200,us-east-1f,Linux/UNIX,N/A
r5d.4xlarge,0.322600,us-east-1f,Linux/UNIX,N/A
m5a.4xlarge,0.323000,us-east-1f,Linux/UNIX,N/A
z1d.3xlarge,0.334800,us-east-1c,Linux/UNIX,N/A
r5a.4xlarge,0.341100,us-east-1c,Linux/UNIX,N/A
m5.4xlarge,0.362200,us-east-1d,Linux/UNIX,N/A
r4.4xlarge,0.368300,us-east-1f,Linux/UNIX,N/A
m4.4xlarge,0.368900,us-east-1f,Linux/UNIX,N/A
r5.4xlarge,0.375800,us-east-1c,Linux/UNIX,N/A
h1.8xlarge,0.561600,us-east-1c,Linux/UNIX,N/A
c4.8xlarge,0.565900,us-east-1c,Linux/UNIX,N/A
r5a.8xlarge,0.608600,us-east-1d,Linux/UNIX,N/A
r5.8xlarge,0.609200,us-east-1d,Linux/UNIX,N/A
m5.8xlarge,0.645200,us-east-1c,Linux/UNIX,N/A
r4.8xlarge,0.649500,us-east-1c,Linux/UNIX,N/A
z1d.6xlarge,0.669600,us-east-1c,Linux/UNIX,N/A
m5d.8xlarge,0.707800,us-east-1c,Linux/UNIX,N/A
c5.9xlarge,0.727500,us-east-1f,Linux/UNIX,N/A
r5d.8xlarge,0.739300,us-east-1f,Linux/UNIX,N/A
m5a.8xlarge,0.752100,us-east-1c,Linux/UNIX,N/A
c5d.9xlarge,0.776500,us-east-1d,Linux/UNIX,N/A
m4.10xlarge,0.783500,us-east-1d,Linux/UNIX,N/A
c5.12xlarge,0.790700,us-east-1c,Linux/UNIX,N/A
r5.12xlarge,0.910900,us-east-1d,Linux/UNIX,N/A
m5.12xlarge,0.913900,us-east-1d,Linux/UNIX,N/A
c5d.12xlarge,0.937600,us-east-1c,Linux/UNIX,N/A
m5d.12xlarge,0.946400,us-east-1c,Linux/UNIX,N/A
r5d.12xlarge,0.946900,us-east-1c,Linux/UNIX,N/A
r5a.12xlarge,0.979800,us-east-1f,Linux/UNIX,N/A
c5n.9xlarge,1.052500,us-east-1c,Linux/UNIX,N/A
m5a.12xlarge,1.086300,us-east-1c,Linux/UNIX,N/A
h1.16xlarge,1.123200,us-east-1c,Linux/UNIX,N/A
m5a.16xlarge,1.162900,us-east-1f,Linux/UNIX,N/A
c5n.18xlarge,1.172100,us-east-1f,Linux/UNIX,N/A
m5.16xlarge,1.179000,us-east-1d,Linux/UNIX,N/A
c5.18xlarge,1.186200,us-east-1d,Linux/UNIX,N/A
c5d.18xlarge,1.253200,us-east-1f,Linux/UNIX,N/A
m5d.16xlarge,1.265300,us-east-1c,Linux/UNIX,N/A
z1d.12xlarge,1.351200,us-east-1c,Linux/UNIX,N/A
r5.16xlarge,1.394900,us-east-1f,Linux/UNIX,N/A
r4.16xlarge,1.411700,us-east-1c,Linux/UNIX,N/A
r5d.16xlarge,1.433700,us-east-1c,Linux/UNIX,N/A
